epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62203,3.84315,5.38136,3.80565,0,0,0,0,3.72365,4.26087,3.62141,0.0829,0.0019,0.0019
2,9.94733,3.71672,4.34628,3.21546,0.00043,0.02581,0.00025,5e-05,4.25692,90.7379,5.22362,0.0648807,0.00388069,0.00388069
3,14.075,3.65324,4.20746,3.07282,0.25047,0.00309,0.00015,5e-05,4.05192,90.76,8.02391,0.0468416,0.00584159,0.00584159
4,18.8638,3.60661,4.0605,2.96754,0.00012,0.00893,7e-05,1e-05,4.43699,inf,55.7977,0.0287827,0.00778268,0.00778268
5,23.3728,3.55878,4.13816,2.96594,0.0013,0.05286,0.00087,0.00018,3.73823,inf,3.24671,0.010704,0.00970398,0.00970398
6,28.3166,3.6072,4.09162,2.9975,0.00025,0.01852,0.00014,4e-05,3.79764,inf,3.66162,0.0097525,0.0097525,0.0097525
7,32.4298,3.61021,4.14915,2.99127,0.12545,0.0216,0.00028,5e-05,3.75072,inf,3.42395,0.009703,0.009703,0.009703
8,36.8495,3.68502,4.05513,3.00547,0.00022,0.00309,8e-05,2e-05,3.81634,inf,3.62431,0.0096535,0.0096535,0.0096535
9,41.5155,3.54528,3.95366,2.94703,0.00214,0.00154,0.00017,3e-05,3.89125,inf,5.13143,0.009604,0.009604,0.009604
10,45.3375,3.59002,3.92071,2.93347,0.00073,0.05578,0.00045,0.00013,3.76886,128.768,3.64167,0.0095545,0.0095545,0.0095545
11,49.4609,3.6151,4.10236,2.93107,0.12808,0.01201,0.00189,0.00056,3.59726,83.2806,3.04482,0.009505,0.009505,0.009505
12,54.0987,3.59876,3.97055,2.92263,0.00182,0.03215,0.00107,0.0003,3.58028,103.797,3.05586,0.0094555,0.0094555,0.0094555
13,57.6776,3.56316,4.00055,2.92509,0.25816,0.02387,0.00145,0.00034,3.95287,73.6579,3.71484,0.009406,0.009406,0.009406
14,62.1213,3.52301,3.93192,3.00167,0.12685,0.03215,0.00118,0.00026,3.66155,inf,3.62469,0.0093565,0.0093565,0.0093565
15,66.3982,3.65828,3.8631,2.91783,0.00154,0.05244,0.00104,0.00044,3.66336,187.496,3.16629,0.009307,0.009307,0.009307
16,70.4748,3.59781,3.79062,2.88144,0.12734,0.00723,0.0011,0.00038,3.61387,23.5524,3.00461,0.0092575,0.0092575,0.0092575
17,74.9498,3.54878,3.78197,2.8959,0.00155,0.03467,0.00094,0.00032,3.81884,inf,3.32998,0.009208,0.009208,0.009208
18,78.98,3.63396,3.96106,2.92403,0.00138,0.05286,0.00098,0.00024,3.795,62.421,3.27365,0.0091585,0.0091585,0.0091585
19,82.9656,3.50986,3.75635,2.87225,0.00132,0.07608,0.00096,0.00025,3.80434,32.812,3.17232,0.009109,0.009109,0.009109
20,87.0696,3.5449,3.81735,2.83641,0.25613,0.0108,0.00454,0.00074,3.65254,28.8481,2.9803,0.0090595,0.0090595,0.0090595
21,91.3381,3.57572,3.86911,2.88418,0.00223,0.07429,0.00229,0.00045,3.54283,28.149,2.85974,0.00901,0.00901,0.00901
22,94.9703,3.56607,4.09678,2.88541,0.00155,0.1109,0.00223,0.00051,3.52436,3.79539,2.82069,0.0089605,0.0089605,0.0089605
23,99.1201,3.53269,3.80394,2.86053,0.00097,0.08444,0.00129,0.00025,3.57332,6.88606,2.90764,0.008911,0.008911,0.008911
24,102.939,3.52426,3.73845,2.93449,0.0011,0.08808,0.00203,0.00042,3.58573,4.89228,2.93048,0.0088615,0.0088615,0.0088615
25,107.033,3.55211,3.60458,2.95436,0.00155,0.11763,0.00214,0.00041,3.61718,10.7558,3.0333,0.008812,0.008812,0.008812
26,111.33,3.54038,3.63567,2.92879,0.001,0.05302,0.00064,9e-05,3.60459,34.6057,3.06679,0.0087625,0.0087625,0.0087625
27,115.707,3.5866,3.74469,2.88296,0.12724,0.03604,0.00112,0.00018,3.56197,39.7711,2.9062,0.008713,0.008713,0.008713
28,119.868,3.53951,3.80371,2.88941,0.12768,0.02987,0.00151,0.00048,3.58343,30.3089,2.90541,0.0086635,0.0086635,0.0086635
29,124.027,3.53323,3.76459,2.87524,0.12754,0.03571,0.00134,0.00026,3.66711,5.98053,2.91188,0.008614,0.008614,0.008614
30,128.002,3.55123,4.00042,2.8755,0.00225,0.0388,0.00138,0.00034,3.52606,4.90315,2.859,0.0085645,0.0085645,0.0085645
31,131.723,3.5205,3.65962,2.82773,0.00304,0.16082,0.0038,0.00086,3.47731,3.85936,2.84571,0.008515,0.008515,0.008515
