epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57955,3.94914,5.86445,4.17925,0,0,0,0,3.86635,4.66679,4.1581,0.00012006,0.00012006,0.00012006
2,10.6313,3.91744,5.66261,4.16595,0,0,0,0,3.86457,4.65624,4.14986,0.000245976,0.000245976,0.000245976
3,14.4127,3.89382,5.49537,4.11969,0,0,0,0,3.86836,4.63196,4.13632,0.000371055,0.000371055,0.000371055
4,17.9654,3.77492,5.18894,4.07811,5e-05,0.14286,8e-05,2e-05,3.85949,4.62428,4.11764,0.000495298,0.000495298,0.000495298
5,21.4451,3.77137,5.21875,4.03023,0.0001,0.14966,0.0002,5e-05,3.82792,4.60044,4.09458,0.000618704,0.000618704,0.000618704
6,24.7397,3.65367,4.85749,3.96329,0.00013,0.15646,0.00028,0.0001,3.77194,4.39191,4.03216,0.000655994,0.000655994,0.000655994
7,29.0108,3.66236,4.78468,3.88836,0.00085,0.17327,0.00438,0.00271,3.60544,6.37398,3.93322,0.000653793,0.000653793,0.000653793
8,33.7282,3.64999,4.56633,3.84261,0.14515,0.04394,0.00152,0.00048,3.56402,21.4641,3.98492,0.000651592,0.000651592,0.000651592
9,37.5527,3.5841,4.4146,3.77997,0.00522,0.03781,0.00556,0.00162,3.54766,8.43237,3.92101,0.000649391,0.000649391,0.000649391
10,41.6706,3.63241,4.62382,3.73637,0.00711,0.06276,0.00921,0.00376,3.59816,10.2116,3.85727,0.00064719,0.00064719,0.00064719
11,46.0117,3.62147,4.49745,3.66725,0.00322,0.03664,0.00716,0.00509,3.60696,9.77198,3.58355,0.000644989,0.000644989,0.000644989
12,50.1122,3.64534,4.54273,3.66674,0.00041,0.03025,0.00026,4e-05,3.56864,6.1854,3.4638,0.000642788,0.000642788,0.000642788
13,54.1448,3.56139,4.35781,3.58323,0.14329,0.03025,0.00031,5e-05,3.52844,5.00038,3.42602,0.000640587,0.000640587,0.000640587
14,58.1412,3.60754,4.32326,3.52137,0.00327,0.0594,0.00758,0.00458,3.52689,6.11773,3.42732,0.000638386,0.000638386,0.000638386
15,61.5655,3.53347,4.31938,3.51696,0.00262,0.08335,0.00208,0.00067,3.48081,3.87634,3.27669,0.000636185,0.000636185,0.000636185
16,66.2292,3.54705,4.30701,3.45554,0.00259,0.0205,0.0093,0.00407,3.47135,4.09125,3.23825,0.000633983,0.000633983,0.000633983
17,69.439,3.51591,4.15415,3.41017,0.16511,0.01311,0.00821,0.00375,3.48439,4.6207,3.23576,0.000631782,0.000631782,0.000631782
18,73.0858,3.58283,4.24056,3.375,0.00208,0.1088,0.00206,0.00063,3.48533,3.92611,3.20687,0.000629581,0.000629581,0.000629581
19,76.261,3.55016,4.15071,3.29903,0.00279,0.11678,0.00708,0.00231,3.4857,3.389,3.214,0.00062738,0.00062738,0.00062738
20,79.802,3.48674,4.36186,3.28118,0.00337,0.09216,0.00692,0.0014,3.46808,3.51262,3.15153,0.000625179,0.000625179,0.000625179
21,83.5266,3.49948,4.14268,3.28328,0.00348,0.10251,0.00948,0.00208,3.46278,3.57245,3.14631,0.000622978,0.000622978,0.000622978
22,87.8355,3.5181,3.96842,3.27892,0.00391,0.07545,0.01328,0.00381,3.50578,6.54102,3.21315,0.000620777,0.000620777,0.000620777
23,92.0335,3.52875,4.13977,3.24588,0.00293,0.09117,0.01402,0.00322,3.49114,6.799,3.20311,0.000618576,0.000618576,0.000618576
24,96.0366,3.53022,3.88442,3.22981,0.00187,0.0605,0.00317,0.00094,3.49107,5.45474,3.17105,0.000616375,0.000616375,0.000616375
25,100.293,3.56934,4.07423,3.22037,0.00222,0.07184,0.00217,0.00066,3.45309,4.41704,3.1393,0.000614174,0.000614174,0.000614174
26,103.88,3.51303,4.02279,3.16528,0.00746,0.0294,0.00692,0.00153,3.44953,3.44756,3.10633,0.000611972,0.000611972,0.000611972
27,107.81,3.48341,4.00315,3.20854,0.01091,0.03621,0.00925,0.00167,3.44869,3.4304,3.10202,0.000609771,0.000609771,0.000609771
28,111.506,3.531,3.94761,3.18916,0.00933,0.07477,0.00867,0.002,3.43751,3.48897,3.13422,0.00060757,0.00060757,0.00060757
29,115.004,3.46865,3.8876,3.17337,0.00738,0.0856,0.00732,0.00183,3.42743,3.2989,3.11488,0.000605369,0.000605369,0.000605369
30,118.141,3.4876,3.67431,3.14846,0.16821,0.00848,0.01228,0.00331,3.41473,3.27757,3.10747,0.000603168,0.000603168,0.000603168
31,121.669,3.45755,3.79559,3.12605,0.35115,0.0068,0.01181,0.00274,3.41405,3.23638,3.11863,0.000600967,0.000600967,0.000600967
